player_id,full_name,position,group,line_slot,team_code,nhl_team_code,team_slug,team_city,nhl_player_id,wikipedia_slug,capwages_slug,roster_source,fetch_date
76,Filip Forsberg,L,f1,f1:L,NAS,NSH,nashville-predators,Nashville,8476887,Filip_Forsberg,filip-forsberg,nhl_toi_position,2026-05-28
77,Ryan O'Reilly,C,f1,f1:C,NAS,NSH,nashville-predators,Nashville,8475158,Ryan_O'Reilly,ryan-oreilly,nhl_toi_position,2026-05-28
78,Luke Evangelista,R,f1,f1:R,NAS,NSH,nashville-predators,Nashville,8482146,Luke_Evangelista,luke-evangelista,nhl_toi_position,2026-05-28
79,Roman Josi,D,d1,d1:D,NAS,NSH,nashville-predators,Nashville,8474600,Roman_Josi,roman-josi,nhl_toi_position,2026-05-28
80,Brady Skjei,D,d1,d1:D,NAS,NSH,nashville-predators,Nashville,8476869,Brady_Skjei,brady-skjei,nhl_toi_position,2026-05-28
81,Jesper Bratt,L,f1,f1:L,NJ,NJD,new-jersey-devils,New Jersey,8479407,Jesper_Bratt,jesper-bratt,nhl_toi_position,2026-05-28
82,Jack Hughes,C,f1,f1:C,NJ,NJD,new-jersey-devils,New Jersey,8481559,Jack_Hughes,jack-hughes,nhl_toi_position,2026-05-28
83,Timo Meier,R,f1,f1:R,NJ,NJD,new-jersey-devils,New Jersey,8478414,Timo_Meier,timo-meier,nhl_toi_position,2026-05-28
84,Luke Hughes,D,d1,d1:D,NJ,NJD,new-jersey-devils,New Jersey,8482684,Luke_Hughes,luke-hughes,nhl_toi_position,2026-05-28
85,Dougie Hamilton,D,d1,d1:D,NJ,NJD,new-jersey-devils,New Jersey,8476462,Dougie_Hamilton,dougie-hamilton,nhl_toi_position,2026-05-28
86,Emil Heineman,L,f1,f1:L,NYI,NYI,new-york-islanders,New York Islanders,8482476,Emil_Heineman,emil-heineman,nhl_toi_position,2026-05-28
87,Bo Horvat,C,f1,f1:C,NYI,NYI,new-york-islanders,New York Islanders,8477500,Bo_Horvat,bo-horvat,nhl_toi_position,2026-05-28
88,Simon Holmstrom,R,f1,f1:R,NYI,NYI,new-york-islanders,New York Islanders,8481601,Simon_Holmstrom,simon-holmstrom,nhl_toi_position,2026-05-28
89,Matthew Schaefer,D,d1,d1:D,NYI,NYI,new-york-islanders,New York Islanders,8485366,Matthew_Schaefer,matthew-schaefer,nhl_toi_position,2026-05-28
90,Adam Pelech,D,d1,d1:D,NYI,NYI,new-york-islanders,New York Islanders,8476917,Adam_Pelech,adam-pelech,nhl_toi_position,2026-05-28
91,Alexis Lafrenière,L,f1,f1:L,NYR,NYR,new-york-rangers,New York Rangers,8482109,Alexis_Lafrenière,alexis-lafrenière,nhl_toi_position,2026-05-28
92,Mika Zibanejad,C,f1,f1:C,NYR,NYR,new-york-rangers,New York Rangers,8476459,Mika_Zibanejad,mika-zibanejad,nhl_toi_position,2026-05-28
