team_code,first_name,last_name,position,wikipedia_slug,wiki_12mo
VGK,Colton,Sissons,C,Colton_Sissons,18598
VGK,Cole,Smith,R,Cole_Smith,1509
VGK,Reilly,Smith,R,Reilly_Smith,99005
VGK,Mark,Stone,R,Mark_Stone,128132
VGK,Kai,Uchacz,C,Kai_Uchacz,864
VGK,Rasmus,Andersson,D,Rasmus_Andersson,62470
VGK,Dylan,Coghlan,D,Dylan_Coghlan,8544
VGK,Jeremy,Davies,D,Jeremy_Davies,527246
VGK,Noah,Hanifin,D,Noah_Hanifin,99769
VGK,Ben,Hutton,D,Ben_Hutton,9008
VGK,Kaedan,Korczak,D,Kaedan_Korczak,12309
VGK,Jeremy,Lauzon,D,Jeremy_Lauzon,871
VGK,Brayden,McNabb,D,Brayden_McNabb,26723
VGK,Jaycob,Megna,D,Jaycob_Megna,23001
VGK,Shea,Theodore,D,Shea_Theodore,69219
VGK,Carter,Hart,G,Carter_Hart,396880
VGK,Adin,Hill,G,Adin_Hill,42587
VGK,Carl,Lindbom,G,Carl_Lindbom,1623
VGK,Akira,Schmid,G,Akira_Schmid,35592
